date,open,high,low,close,volume,Name
09-05-2021,646.312134,678.228394,631.465271,662.228577,4321052943,BNB-USD
10-05-2021,661.450012,690.931946,596.165894,631.35199,5157435389,BNB-USD
11-05-2021,631.240601,672.459412,623.249817,672.333923,4865455319,BNB-USD
12-05-2021,671.77887,684.137695,588.185181,588.185181,4311561442,BNB-USD
13-05-2021,592.95459,632.970703,530.23822,571.434509,7417114170,BNB-USD
14-05-2021,570.96051,614.485413,567.034729,603.128296,3735474448,BNB-USD
15-05-2021,602.554382,610.51416,561.168396,563.041687,3480395174,BNB-USD
16-05-2021,562.648926,606.003418,535.057373,562.829834,4047395255,BNB-USD
17-05-2021,564.445557,564.445557,485.99707,511.964386,5123430659,BNB-USD
18-05-2021,511.391998,534.177856,496.978546,508.022308,3548216902,BNB-USD
19-05-2021,508.862732,515.716553,283.453705,339.025482,8779943654,BNB-USD
20-05-2021,335.556732,424.29425,286.089447,393.612762,7093839295,BNB-USD
21-05-2021,391.541565,415.706726,275.39267,326.296326,6291181865,BNB-USD
22-05-2021,326.797791,335.734741,285.353424,299.504089,3871242832,BNB-USD
23-05-2021,300.035431,313.525146,213.516464,262.945679,5336233746,BNB-USD
24-05-2021,261.119537,350.273102,258.622711,345.309631,6066277282,BNB-USD
25-05-2021,345.489838,374.597198,307.729462,344.113983,5656677341,BNB-USD
26-05-2021,343.531982,387.765198,337.056976,379.854309,4502557689,BNB-USD
27-05-2021,379.693481,387.490082,340.890839,367.655792,3965850350,BNB-USD
28-05-2021,369.835693,373.313232,313.723022,329.879913,4482824807,BNB-USD
29-05-2021,328.986847,346.92395,296.57074,305.052155,3070017878,BNB-USD
30-05-2021,305.042572,337.742371,292.852356,325.784027,3246314973,BNB-USD
31-05-2021,325.808136,355.977142,307.944031,354.329346,3865691845,BNB-USD
01-06-2021,353.782532,364.320129,340.474243,362.794647,3425775257,BNB-USD
02-06-2021,362.36087,418.665131,350.956787,401.262329,4486850584,BNB-USD
03-06-2021,401.760834,432.308105,392.033173,427.807922,4370188399,BNB-USD
04-06-2021,428.187378,428.443146,366.274841,391.395325,4951450795,BNB-USD
05-06-2021,390.958801,425.90274,375.067505,390.431854,3956143113,BNB-USD
06-06-2021,390.236725,400.041168,382.344971,393.820221,2101917655,BNB-USD
07-06-2021,393.654663,407.375671,355.975464,357.310211,2927240962,BNB-USD
08-06-2021,358.165436,365.923187,320.238007,354.001373,4491122307,BNB-USD
09-06-2021,352.76593,378.741364,334.419098,375.73468,3543408536,BNB-USD
10-06-2021,375.669006,376.950195,345.51767,352.183197,2505012942,BNB-USD
11-06-2021,352.084839,365.303986,341.477356,345.933685,2269923678,BNB-USD
12-06-2021,345.901703,348.878571,325.817719,343.741028,2146761411,BNB-USD
13-06-2021,344.042847,369.058044,331.111938,366.648956,2171880359,BNB-USD
14-06-2021,365.7547,377.018646,355.310944,368.792755,2271215183,BNB-USD
15-06-2021,372.736847,379.659851,363.934998,373.566162,2246535807,BNB-USD
16-06-2021,366.81662,366.81662,343.64856,347.033447,1626149384,BNB-USD
17-06-2021,347.212372,362.259399,346.037537,352.738525,1379161855,BNB-USD
18-06-2021,353.013367,357.07428,328.047333,336.809692,1613940591,BNB-USD
19-06-2021,337.552277,345.459595,332.096497,335.71283,1140833816,BNB-USD
20-06-2021,334.65094,340.78952,310.775879,340.0672,1756674565,BNB-USD
21-06-2021,339.32663,341.799347,269.433685,270.984436,2911962314,BNB-USD
22-06-2021,270.793396,291.022583,226.297836,261.818085,4089344405,BNB-USD
23-06-2021,262.058197,309.126434,252.20314,294.490295,3170293549,BNB-USD
24-06-2021,296.263947,316.190765,281.984711,308.397034,2323626593,BNB-USD
25-06-2021,308.582031,313.977081,275.838196,281.620911,2317971593,BNB-USD
26-06-2021,281.133942,289.949799,264.601013,279.438049,1921847994,BNB-USD
27-06-2021,279.865295,291.148926,270.289917,290.567017,1521388056,BNB-USD
28-06-2021,290.818695,298.720612,283.951843,289.534119,1722578691,BNB-USD
29-06-2021,289.919128,315.439331,289.221161,300.211548,1946428384,BNB-USD
30-06-2021,300.958801,304.801361,281.778015,303.295868,1903538448,BNB-USD
01-07-2021,303.527374,303.527374,281.579132,288.218414,1357794786,BNB-USD
02-07-2021,287.754456,290.621674,277.350311,287.423096,1133632645,BNB-USD
03-07-2021,287.215607,302.605865,283.434021,298.237122,1113777297,BNB-USD
04-07-2021,298.113556,314.713013,292.787384,307.732086,1387395766,BNB-USD
05-07-2021,307.684845,307.684845,293.523468,302.377991,1504869977,BNB-USD
06-07-2021,302.195587,321.520966,302.195587,320.934814,2203265498,BNB-USD
07-07-2021,320.191772,339.167664,318.529968,327.522461,2067233169,BNB-USD
08-07-2021,327.957855,327.957855,305.075439,310.427124,1883785090,BNB-USD
09-07-2021,310.010284,319.443909,301.828217,316.484528,1358583891,BNB-USD
10-07-2021,316.996307,320.93927,310.886902,316.140137,1179686219,BNB-USD
11-07-2021,316.056366,326.751801,312.639008,322.031647,1189805384,BNB-USD
12-07-2021,322.034912,334.282074,309.142059,316.328186,1614469810,BNB-USD
13-07-2021,316.26889,318.295135,305.48941,308.811157,1231759805,BNB-USD
14-07-2021,308.952606,313.21579,290.662384,309.406372,1646743038,BNB-USD
15-07-2021,309.500641,323.885895,301.656677,315.244019,2242114046,BNB-USD
16-07-2021,315.691101,322.997772,301.932495,302.985596,1688212208,BNB-USD
17-07-2021,302.934845,306.530853,295.387482,300.497925,1298507379,BNB-USD
18-07-2021,300.595978,309.114258,299.97226,302.480499,1254819647,BNB-USD
19-07-2021,302.268219,303.829193,279.708527,280.018616,1514754521,BNB-USD
20-07-2021,280.564972,283.206146,255.850754,264.782379,1819454491,BNB-USD
21-07-2021,264.494751,298.791748,261.226379,292.531372,1957623339,BNB-USD
22-07-2021,293.14267,298.4039,287.733368,293.641144,1495118544,BNB-USD
23-07-2021,293.601318,300.993774,281.696106,299.28299,1849700307,BNB-USD
24-07-2021,299.047852,307.840515,296.111511,302.071869,1644709273,BNB-USD
25-07-2021,301.846619,304.057892,292.890625,302.436157,1351522797,BNB-USD
