date,open,high,low,close,volume,Name
09-05-2021,1.620347,1.829795,1.575998,1.770562,8065503276,ADA-USD
10-05-2021,1.766068,1.822609,1.529308,1.644696,6463330466,ADA-USD
11-05-2021,1.641717,1.778112,1.596676,1.764077,5428571805,ADA-USD
12-05-2021,1.763505,1.818942,1.552775,1.552775,5338469591,ADA-USD
13-05-2021,1.56845,1.969934,1.505321,1.933668,14513419581,ADA-USD
14-05-2021,1.927283,2.042103,1.817152,2.004796,7654204713,ADA-USD
15-05-2021,2.006624,2.371752,1.966524,2.174027,15517858775,ADA-USD
16-05-2021,2.171434,2.461766,2.013285,2.309113,12524150427,ADA-USD
17-05-2021,2.30019,2.325002,1.92552,2.032226,11250259740,ADA-USD
18-05-2021,2.028103,2.150382,1.979631,2.003662,6744829200,ADA-USD
19-05-2021,2.006584,2.028092,1.028031,1.482521,16313794033,ADA-USD
20-05-2021,1.471961,1.943229,1.327412,1.810469,11788522531,ADA-USD
21-05-2021,1.802594,1.86863,1.326776,1.552277,9055414507,ADA-USD
22-05-2021,1.553113,1.60102,1.377943,1.463622,6572397780,ADA-USD
23-05-2021,1.46568,1.53964,1.056036,1.325436,9297651823,ADA-USD
24-05-2021,1.316236,1.597913,1.270361,1.549485,7365907636,ADA-USD
25-05-2021,1.550373,1.648563,1.439744,1.555369,5723130829,ADA-USD
26-05-2021,1.554463,1.832433,1.554463,1.782702,6638876193,ADA-USD
27-05-2021,1.781137,1.790477,1.612414,1.64596,4266751905,ADA-USD
28-05-2021,1.650636,1.677707,1.452245,1.511987,5373114660,ADA-USD
29-05-2021,1.513623,1.561741,1.335859,1.406232,3902596499,ADA-USD
30-05-2021,1.404303,1.688977,1.35182,1.577279,4974774760,ADA-USD
31-05-2021,1.575644,1.75062,1.527209,1.742778,4491096277,ADA-USD
01-06-2021,1.738447,1.779591,1.660549,1.734753,4123980990,ADA-USD
02-06-2021,1.736103,1.803849,1.719255,1.752824,3453620094,ADA-USD
03-06-2021,1.754643,1.88865,1.717762,1.840471,3443770332,ADA-USD
04-06-2021,1.846715,1.848485,1.609734,1.710908,4583062567,ADA-USD
05-06-2021,1.709916,1.783177,1.611715,1.659009,2969362191,ADA-USD
06-06-2021,1.656461,1.706524,1.647702,1.678248,1748045655,ADA-USD
07-06-2021,1.677226,1.740569,1.557106,1.564106,2644319967,ADA-USD
08-06-2021,1.567051,1.594298,1.402785,1.58803,4318242183,ADA-USD
09-06-2021,1.583486,1.630414,1.485165,1.624826,3551319865,ADA-USD
10-06-2021,1.627778,1.635973,1.508578,1.531857,2366588153,ADA-USD
11-06-2021,1.533137,1.546059,1.420852,1.436378,2477031735,ADA-USD
12-06-2021,1.437721,1.49353,1.358179,1.48022,2801038421,ADA-USD
13-06-2021,1.480494,1.578513,1.402935,1.558359,2785909000,ADA-USD
14-06-2021,1.557019,1.592704,1.510411,1.57511,2543903347,ADA-USD
15-06-2021,1.57387,1.611401,1.545383,1.597756,2553205553,ADA-USD
16-06-2021,1.55658,1.575438,1.475047,1.482573,2139361752,ADA-USD
17-06-2021,1.484558,1.538465,1.459475,1.482194,1731974000,ADA-USD
18-06-2021,1.482789,1.493233,1.379673,1.415396,2128905021,ADA-USD
19-06-2021,1.417603,1.442877,1.386422,1.39057,1829155405,ADA-USD
20-06-2021,1.387408,1.460376,1.308951,1.429188,2319196952,ADA-USD
21-06-2021,1.427028,1.436257,1.170604,1.17748,3987752749,ADA-USD
22-06-2021,1.175233,1.263039,1.002985,1.153254,5960971784,ADA-USD
23-06-2021,1.155804,1.305561,1.111894,1.252896,4931021068,ADA-USD
24-06-2021,1.25141,1.398589,1.206899,1.356087,3368353999,ADA-USD
25-06-2021,1.359522,1.392683,1.245304,1.256478,4343177013,ADA-USD
26-06-2021,1.254301,1.291396,1.198573,1.25044,3241467640,ADA-USD
27-06-2021,1.251827,1.348168,1.243678,1.335202,2371576551,ADA-USD
28-06-2021,1.337114,1.349285,1.305406,1.324752,2292440816,ADA-USD
29-06-2021,1.325513,1.419944,1.320304,1.368437,2589787987,ADA-USD
30-06-2021,1.372968,1.398117,1.287063,1.383472,2591116345,ADA-USD
01-07-2021,1.383814,1.383814,1.304074,1.335611,2002167965,ADA-USD
02-07-2021,1.332942,1.394397,1.286607,1.394397,2159409781,ADA-USD
03-07-2021,1.394152,1.441714,1.359664,1.406836,2028094099,ADA-USD
04-07-2021,1.404008,1.493717,1.382153,1.458184,1806362471,ADA-USD
05-07-2021,1.461221,1.461221,1.379284,1.404898,1759460737,ADA-USD
06-07-2021,1.404712,1.456887,1.393282,1.418053,1477699691,ADA-USD
07-07-2021,1.416153,1.440113,1.401327,1.403118,1349405773,ADA-USD
08-07-2021,1.404964,1.406497,1.320428,1.330146,1580104997,ADA-USD
09-07-2021,1.327267,1.371523,1.288597,1.349474,1566915921,ADA-USD
10-07-2021,1.350715,1.364834,1.320597,1.336085,1102564201,ADA-USD
11-07-2021,1.335172,1.366351,1.324434,1.348145,870305644,ADA-USD
12-07-2021,1.348264,1.373091,1.292838,1.315099,1198732016,ADA-USD
13-07-2021,1.313973,1.321124,1.250801,1.265083,1243604284,ADA-USD
14-07-2021,1.264938,1.287538,1.200443,1.262258,1647061755,ADA-USD
15-07-2021,1.263694,1.287742,1.207396,1.223192,1637907431,ADA-USD
16-07-2021,1.22505,1.244133,1.168918,1.173715,1626548127,ADA-USD
17-07-2021,1.171585,1.193662,1.152655,1.172302,1487211065,ADA-USD
18-07-2021,1.172851,1.216031,1.170776,1.183698,1354296229,ADA-USD
19-07-2021,1.181999,1.190931,1.117248,1.121116,1061358016,ADA-USD
20-07-2021,1.12276,1.134648,1.021433,1.056291,1782242052,ADA-USD
